EXIF Tag documentation
======================

Below is a table of the currently known tag numbers, shortname and 
descriptions. Unfortunately this information is not publicly published 
and most of it has been reverse engineered by various dedicated individuals 
(See acknowledgements below), However there are still gaps and anyone who 
knows any tags not documented here please let us know about them!

      Tag   Short Name          Description
    0x02    CanonCFn.Lock       Canon CFn 02 Shutter/AE lock buttons
    0x03    CanonCFn.MirrorLock Canon CFn 03 Mirror lockup
    0x04    CanonCFn.TVAVexp    Canon CFn 04 Tv/Av & exposure level
    0x05    CanonCFn.AFassist   Canon CFn 05 AF-assist light
    0x06    CanonCFn.ShuttAv    Canon CFn 06 Shutter speed in Av mode
    0x07    CanonCFn.AEBSeq     Canon CFn 07 AEB Sequence/auto cancel
    0x08    CanonCFn.ShuttSync  Canon CFn 08 Shutter curtain sync
    0x09    CanonCFn.AFStop     Canon CFn 09 Lens AF stop button switch
    0x0A    CanonCFn.FillReduce Canon CFn 10 Fill flash auto reduction
    0x0B    CanonCFn.MenuButt   Canon CFn 11 Menu button return pos
    0x0C    CanonCFn.SetButt    Canon CFn 12 SET button when shooting
    0x0D    CanonCFn.SensClean  Canon CFn 13 Sensor cleaning

Fujifilm
    0x0000  Fuji.Version        Fuji Version
    0x1000  Fuji.Quality        Fuji Quality
    0x1001  Fuji.Sharpness      Fuji Sharpness
    0x1002  Fuji.WhiteBal       Fuji White Balance
    0x1003  Fuji.Color          Fuji Color
    0x1004  Fuji.Contrast       Fuji Tone
    0x1010  Fuji.FlashMode      Fuji Flash Mode
    0x1011  Fuji.FlashStrg      Fuji Flash Strength APEX
    0x1020  Fuji.Macro          Fuji Macro Mode
    0x1021  Fuji.Focus          Fuji Focus Mode
    0x1022  Fuji.Unknown1022    Fuji Unknown (1022)
    0x1023  Fuji.Unknown1023    Fuji Unknown (1023)
    0x1030  Fuji.SlowSnyc       Fuji Slow Sync
    0x1031  Fuji.Picture        Fuji Exposure Mode
    0x1032  Fuji.Unknown1032    Fuji Unknown (1032)
    0x1100  Fuji.Sequence       Fuji Sequence Mode
    0x1101  Fuji.Unknown1101    Fuji Unknown (1101)
    0x1200  Fuji.Unknown1200    Fuji Unknown (1200)
    0x1300  Fuji.BlurWarn       Fuji Blur Warning
    0x1301  Fuji.FocusWarn      Fuji Focus Warning
    0x1302  Fuji.AEWarn         Fuji Exposure Warning

Casio
    0x0001  Casio.RecordMode    Casio Recording Mode",
    0x0002  Casio.Quality       Casio Quality  ",
    0x0003  Casio.FocusMode     Casio Focusing Mode",
    0x0004  Casio.FlashMode     Casio Flash Mode",
    0x0005  Casio.FlasIntense   Casio Flash Intensity",
    0x0006  Casio.ObjDist       Casio Object Distance",
    0x0007  Casio.WhiteBal      Casio White Balance",
    0x0008  Casio.Unknown0008   Casio Unknown (0008)",
    0x0009  Casio.Unknown0009   Casio Unknown (0009)",
    0x000A  Casio.DigZoom       Casio Digital Zoom",
    0x000B  Casio.Sharpness     Casio Sharpness",
    0x000C  Casio.Contrast      Casio Contrast ",
    0x000D  Casio.Saturation    Casio Saturation",
    0x000E  Casio.Unknown000E   Casio Unknown (000E)",
    0x000F  Casio.Unknown000F   Casio Unknown (000F)",
    0x0010  Casio.Unknown0010   Casio Unknown (0010)",
    0x0011  Casio.Unknown0011   Casio Unknown (0011)",
    0x0012  Casio.Unknown0012   Casio Unknown (0012)",
    0x0013  Casio.Unknown0013   Casio Unknown (0013)",

All the above are confirmed from a number of sources whereas the tags below
came from a single source and have not been confirmed due to a lack of
sample Casio images.
    0x0014  Casio.CCDSense      Casio CCD Sensitivity",
    0x0015  Casio.Unknown0015   Casio Unknown (0015)",
    0x0016  Casio.Enhancement   Casio Enhancement",
    0x0017  Casio.Filter        Casio Filter   ",
    0x0018  Casio.FocFrmLoc     Casio Focus Frame Locator",
    0x0019  Casio.CCDSense      Casio CCD Sensitivity",
    0x001A  Casio.Unknown001A   Casio Unknown (001A)",
    0x0100  Casio.MeterMode     Casio Metering Mode",
    0x0101  Casio.EVShift       Casio EV Shift",
    0x0102  Casio.Unknown0102   Casio Unknown (0102)",
    0x0103  Casio.Aperture      Casio Apertue",
    0x0104  Casio.RecordMode2   Casio Recording Mode",
    0x0105  Casio.Composition   Casio Composition Frame",
    0x0106  Casio.ExpMode       Casio Exposure Mode",
    0x0107  Casio.Unknown0107   Casio Unknown (0107)",

Most information on tags came from 
  http://www.ba.wakwak.com/~tsuruzoh/Computer/Digicams/exif-e.html
Additional Casio info from 
  http://www.kadner-online.de/fotografie/exif/exif-iop-full-field-list.txt
Additional Casio info from 
  http://www.goto.onlinehome.de/dsc/casio3500.htm
